# صور فقاعات الكلمات ووصّل الحروف.
# كل سطر: اسم الإيموجي بالإنجليزية | عنوان الصورة | الكلمات التي تخصّها، مفصولة بفواصل.
# الرسوم من Twemoji برخصة CC BY 4.0. الكلمات من 4 إلى 7 حروف حتى تصلح للّعبتين.

# ── سماء وطبيعة ───────────────────────────────────────────────────────────
dress | الفستان | حفلة، قماش، أناقة، ألوان، خياطة، الطول
coat | المعطف | شتاء، الدفء، أزرار، الصوف، خروج، أكمام
scarf | الوشاح | شتاء، رقبة، الدفء، الصوف، ألوان، اللبس
gloves | القفازات | شتاء، يدان، الدفء، الصوف، حماية، اللبس
socks | الجوارب | القدم، الدفء، القطن، حذاء، غسيل، الزوج
man’s shoe | الحذاء | القدم، الجلد، المشي، رباط، خروج، مقاس
running shoe | حذاء الرياضة | الجري، مرونة، تمرين، رباط، ملعب، راحة
hiking boot | الجزمة | جبال، الطين، رحلة، الجلد، حماية، المشي
top hat | القبعة | الرأس، الشمس، أناقة، خروج، الظل، اللبس
glasses | النظارة | عدسات، البصر، قراءة، إطار، وضوح، العين
sunglasses | النظارة الشمسية | الشمس، الصيف، حماية، عدسات، البحر، أناقة
ring | الخاتم | الذهب، زواج، إصبع، هدية، الفضة، زينة
crown | التاج | الملك، الذهب، جواهر، العرش، الرأس، فخامة
necktie | ربطة العنق | أناقة، قميص، العمل، عقدة، رسمي، اللون
purse | الحقيبة اليدوية | نقود، أناقة، الكتف، مفاتيح، الجلد، خروج
lab coat | معطف المختبر | أبيض، علوم، طبيب، مختبر، حماية، العمل
kimono | الكيمونو | يابان، حرير، حزام، تقليدي، أكمام، اللبس
bikini | ملابس السباحة | البحر، مسبح، الصيف، سباحة، شاطئ، الشمس

# ── رياضة وألعاب ──────────────────────────────────────────────────────────
soccer ball | كرة القدم | ملعب، الهدف، فريق، الحكم، مرمى، جمهور
basketball | كرة السلة | حلقة، القفز، تمرير، ملعب، فريق، تصويب
tennis | التنس | مضرب، شبكة، ملعب، ضربة، نقاط، الكرة
volleyball | الكرة الطائرة | شبكة، ضربة، فريق، الرمل، ملعب، تمرير
baseball | البيسبول | مضرب، قفاز، رمية، ملعب، فريق، الجري
american football | كرة القدم الأمريكية | خوذة، ملعب، فريق، تدافع، الهدف، أمريكا
rugby football | الرغبي | فريق، تدافع، ملعب، القوة، تمرير، الهدف
cricket game | الكريكيت | مضرب، ملعب، فريق، رمية، نقاط، الهند
field hockey | الهوكي | العصا، ملعب، فريق، الكرة، الهدف، سرعة
bowling | البولينغ | قوارير، الكرة، الممر، تصويب، نقاط، صالة
boxing glove | الملاكمة | قفاز، حلبة، ضربة، جولة، البطل، تدريب
goal net | المرمى | شبكة، الهدف، الكرة، حارس، ملعب، تصويب
flying disc | القرص الطائر | الرمي، حديقة، اللعب، دوران، هواء، التقاط
kite | الطائرة الورقية | الخيط، رياح، تحليق، أطفال، الورق، الصيف
skis | التزلج | الثلج، جبال، سرعة، العصا، شتاء، توازن
ice skate | التزلج على الجليد | حذاء، جليد، توازن، النصل، حلبة، رشاقة
person surfing | ركوب الأمواج | اللوح، البحر، توازن، موجة، رياضة، شاطئ
fishing pole | صيد السمك | صنارة، الطعم، بحيرة، الصبر، سمكة، الخيط
trophy | الكأس | الفوز، بطولة، الذهب، احتفال، فريق، تتويج
1st place medal | الميدالية | الفوز، منصة، الذهب، بطولة، تتويج، رياضة
chess pawn | الشطرنج | رقعة، الملك، الخطة، نقلة، ذكاء، مباراة
game die | النرد | الحظ، أرقام، الرمي، لعبة، مكعب، الدور
joystick | ذراع التحكم | ألعاب، شاشة، تحكم، متعة، أزرار، جهاز
video game | ألعاب الفيديو | شاشة، تحكم، مستوى، متعة، نقاط، لاعب
puzzle piece | أحجية | القطع، تركيب، الصبر، صورة، لعبة، ذكاء
teddy bear | الدمية | أطفال، اللعب، قماش، هدية، النوم، الحضن
yo-yo | اليويو | الخيط، دوران، لعبة، مهارة، صعود، اليد
bullseye | السهام | لوحة، تصويب، الدقة، نقاط، الرمي، لعبة

# ── موسيقى وتقنية ─────────────────────────────────────────────────────────
guitar | الغيتار | أوتار، اللحن، العزف، أغنية، الخشب، حفلة
musical keyboard | البيانو | مفاتيح، اللحن، العزف، أصابع، نوتة، حفلة
drum | الطبل | إيقاع، الضرب، الصوت، فرقة، الجلد، احتفال
violin | الكمان | أوتار، القوس، اللحن، العزف، أوركسترا، الخشب
trumpet | البوق | النفخ، اللحن، نحاس، فرقة، الصوت، احتفال
saxophone | الساكسفون | النفخ، الجاز، اللحن، نحاس، العزف، فرقة
musical notes | النوتة | اللحن، موسيقى، أغنية، مدرج، العزف، إيقاع
studio microphone | الميكروفون | الصوت، تسجيل، غناء، استديو، إذاعة، حفلة
headphone | السماعات | موسيقى، أذنان، عزلة، الصوت، هاتف، استماع
radio | المذياع | أخبار، موجات، الصوت، محطة، سيارة، البث
television | التلفاز | شاشة، قنوات، مشاهدة، أخبار، ريموت، مسلسل
camera | الكاميرا | الصور، عدسة، ذكرى، فلاش، تصوير، ألبوم
movie camera | كاميرا الأفلام | تصوير، سينما، مشهد، مخرج، تسجيل، فيلم
mobile phone | الهاتف | اتصال، شاشة، رسائل، بطارية، تطبيق، الصور
laptop | الحاسوب المحمول | شاشة، لوحة، برامج، العمل، إنترنت، بطارية
desktop computer | الحاسوب | شاشة، برامج، مكتب، لوحة، إنترنت، ملفات
keyboard | لوحة المفاتيح | كتابة، حروف، أزرار، حاسوب، طباعة، أوامر
computer mouse | فأرة الحاسوب | النقر، شاشة، مؤشر، حاسوب، تمرير، اليد
printer | الطابعة | الورق، الحبر، النسخ، مكتب، طباعة، ملفات
floppy disk | القرص | الحفظ، ملفات، بيانات، قديم، النسخ، ذاكرة
satellite | القمر الصناعي | فضاء، البث، إشارة، مدار، اتصال، الصور
robot | الإنسان الآلي | برمجة، مصنع، ذكاء، حركة، معدن، أوامر
telephone | الهاتف القديم | القرص، السلك، رنين، اتصال، منزل، مكالمة
blueberries | التوت الأزرق | الفاكهة، الصغيرة، المربى، الحلوى، الصحة، الأزرق

# ── مناسبات ورموز ─────────────────────────────────────────────────────────
party popper | الاحتفال | الفرح، زينة، حفلة، ضيوف، هدايا، أصوات
birthday cake | عيد الميلاد | شموع، كعكة، أغنية، هدايا، أصدقاء، الفرح
feather | الريشة | الطائر، الخفة، الكتابة، الطيران، الأبيض، الوسادة
ribbon | الشريط | تغليف، هدية، ألوان، عقدة، زينة، قماش
red heart | المحبة | عائلة، صداقة، عطاء، القلب، حنان، هدية
sparkles | اللمعان | نجوم، الضوء، جمال، بريق، الفرح، السحر
star-struck | الإعجاب | دهشة، الفرح، نجوم، تصفيق، بهجة، تعبير
bell | الجرس | رنين، مدرسة، تنبيه، الصوت، معدن، موعد
megaphone | مكبر الصوت | إعلان، الصوت، جمهور، تنبيه، خطاب، مسيرة
bomb | القنبلة | انفجار، الخطر، فتيل، الصوت، تحذير، دخان
shield | الدرع | حماية، معركة، حديد، دفاع، فارس، القوة
crossed swords | السيوف | معركة، فروسية، حديد، قتال، تاريخ، شجاعة
bow and arrow | القوس | السهم، رماية، الهدف، تصويب، الخشب، الصيد
magic wand | العصا السحرية | السحر، نجوم، خدعة، حيلة، العرض، تحول
crystal ball | الكرة البلورية | تنبؤ، زجاج، غموض، السحر، ضباب، خدعة
red paper lantern | الفانوس | رمضان، الضوء، زينة، شمعة، الليل، تعليق
prayer beads | المسبحة | الذكر، الخرز، الخيط، صلاة، العد، تسبيح
kaaba | الكعبة | المكة، الحج، طواف، قبلة، عمرة، مسلمون
diya lamp | مصباح الزيت | صيام، فانوس، إفطار، هلال، أضواء، العيد
money bag | كيس النقود | ثروة، ادخار، عملات، الدفع، البنك، ميزانية
dollar banknote | النقود | شراء، البنك، راتب، الدفع، عملة، ادخار
credit card | البطاقة | الدفع، البنك، شراء، الرقم، حساب، متجر
coin | العملة | معدن، شراء، الجمع، قيمة، البنك، ادخار
gem stone | الجوهرة | ثمين، لمعان، خاتم، الكنز، نادر، التاج
cup with straw | كوب العصير | القشة، البرودة، العصير، الصيف، الشرب، الغطاء
jar | المرطبان | الزجاج، المربى، الحفظ، الغطاء، المطبخ، المخلل، العسل
red triangle pointed up | التحذير | الخطر، انتباه، علامة، توقف، الحذر، إشارة
stop sign | إشارة التوقف | طريق، أحمر، سيارات، نظام، توقف، سلامة
recycling symbol | إعادة التدوير | بيئة، نفايات، الفرز، حماية، أخضر، توفير
biohazard | الخطر البيولوجي | تحذير، مختبر، عدوى، حماية، الرمز، العزل

# ── مدرسة ومكتب ومزيد ─────────────────────────────────────────────────────
open book | الكتاب المفتوح | قراءة، صفحات، العلم، مكتبة، الدرس، معرفة
closed book | الكتاب | غلاف، قراءة، رفوف، مؤلف، صفحات، العلم
bookmark | الفاصل | صفحة، قراءة، تذكير، كتاب، الورق، علامة
newspaper | الجريدة | أخبار، صفحات، مقال، صباح، الورق، قراءة
scroll | المخطوطة | تاريخ، الورق، كتابة، اللفة، قديم، وثيقة
clipboard | الحافظة | أوراق، ملاحظات، مكتب، ترتيب، قائمة، مشبك
bar chart | الأرقام | بيانات، مقارنة، تقرير، أعمدة، تحليل، قياس
triangular ruler | المثلث الهندسي | زوايا، الرسم، هندسة، قياس، مدرسة، خطوط
linked paperclips | الأوراق | ترتيب، ملفات، مكتب، تثبيت، مستندات، مشابك
locked with key | الأمان | القفل، مفتاح، حماية، السر، الباب، خزنة
bellhop bell | جرس الاستقبال | فندق، خدمة، رنين، ضيوف، مكتب، الطلب
wastebasket | سلة المهملات | السوق، مشتريات، الحمل، خضار، متجر، الدفع
receipt | الفاتورة | شراء، مبلغ، ضريبة، متجر، الورق، الدفع
spiral calendar | جدول المواعيد | أيام، تخطيط، الشهر، مهام، تذكير، تنظيم
hibiscus | الكركديه | الزهرة، المشروب، الأحمر، الحرارة، الحديقة، النكهة
hourglass not done | الوقت | الرمل، انتظار، قياس، الصبر، ساعة، مهلة
bouquet | الباقة | الزهور، الهدية، العطر، الألوان، المناسبة، الورود، الحديقة
lotus | اللوتس | الزهرة، البركة، الهدوء، الأوراق، الجمال، الماء، الطين
toolbox | صندوق الأدوات | مطرقة، مفكاك، صيانة، إصلاح، الحمل، ورشة
cockroach | الصرصور | الحشرة، الليل، المطبخ، السرعة، النظافة، الاختباء، الحشرات
gear | الترس | الآلة، حركة، أسنان، دوران، محرك، هندسة
chains | السلسلة | حديد، الربط، القوة، حلقات، تقييد، السحب
melon | الشمام | الصيف، البذور، العصير، الحلاوة، القشرة، البرودة
chestnut | الكستناء | الخريف، التحميص، القشرة، الشجرة، الطعم، الشتاء، البني
umbrella with rain drops | المظلة المفتوحة | المطر، شتاء، حماية، قطرات، خروج، طريق
watch | ساعة اليد | الوقت، معصم، عقارب، موعد، أناقة، دقات
ring buoy | طوق النجاة | البحر، إنقاذ، سباحة، العوم، سلامة، شاطئ
axe | الفأس | الحطب، القطع، الخشب، غابة، حديد، القوة
pick | المعول | الحفر، مناجم، صخور، حديد، العمل، تعدين
brick | الطوب | بناء، جدار، أحمر، البيت، إسمنت، عمال
carpentry saw | المنشار | الخشب، القطع، نجار، أسنان، ورشة، أثاث
beetle | الخنفساء | الحشرة، الأجنحة، التربة، الأوراق، الصغيرة، الزحف
rescue worker’s helmet | الخوذة | حماية، الرأس، بناء، سلامة، إنقاذ، عمال
lotion bottle | الكريم | بشرة، ترطيب، عبوة، رائحة، يدان، عناية
razor | الشفرة | حلاقة، الحدة، الوجه، مرآة، تنظيف، صباح
worm | الدودة | التربة، الزحف، الطيور، الحديقة، الصغيرة، التحلل
basket | السلة القش | الحمل، خضار، السوق، القش، تخزين، يدوي
microbe | الميكروب | المجهر، المرض، النظافة، العدوى، الدواء، الصغر
safety pin | الدبوس المشبك | تثبيت، قماش، ملابس، حماية، حادة، إغلاق
hammer and wrench | الصيانة | أدوات، إصلاح، ورشة، مطرقة، مفتاح، آلات

# ── بحر وفضاء ومتفرقات ────────────────────────────────────────────────────
spiral shell | الصدفة | البحر، رمال، شاطئ، لؤلؤ، الصوت، الجمع
coral | المرجان | البحر، ألوان، شعاب، أسماك، أعماق، هشاشة
tropical fish | سمكة الزينة | الحوض، ألوان، الماء، شعاب، زعانف، صغيرة
blowfish | سمكة النفيخة | انتفاخ، الشوك، البحر، السم، دفاع، غرابة
ringed planet | الكوكب | فضاء، حلقات، مدار، نجوم، الغاز، الرصد
comet | المذنب | فضاء، الذيل، جليد، سرعة، مدار، الضوء
leafy green | الخضار الورقية | السلطة، الحديد، الصحة، الأخضر، الغسل، الطازج
sun behind cloud | الطقس | غيوم، الشمس، نشرة، درجة، رياح، تغير
bell pepper | الفلفل الحلو | السلطة، الألوان، الخضار، الطبخ، الحشو، الطازج
wind face | الرياح | عاصفة، هواء، أشرعة، برودة، تحريك، طاحونة
bento box | علبة الطعام | الوجبة، الأرز، الترتيب، المدرسة، الغداء، اليابان
hot springs | الينابيع | الماء، حرارة، بخار، استجمام، جبال، صخور
fountain pen | ريشة الكتابة | الحبر، الورق، الخط، توقيع، رسائل، أناقة
house with garden | البيت والحديقة | أشجار، السكن، زهور، السور، هدوء، أسرة
seat | المقعد | جلوس، طائرة، سينما، الرقم، انتظار، راحة
nest with eggs | العش | البيض، الطائر، الأغصان، الحضانة، الشجرة، الفقس
potted plant | نبتة الزينة | الأصيص، التربة، السقاية، الأوراق، الشرفة، الأخضر

# ── فواكه وخضار (تتمة) ────────────────────────────────────────────────────
green apple | التفاح الأخضر | الفاكهة، الحموضة، القشرة، البذور، الشجرة، العصير
lime | الليمون الأخضر | الحموضة، العصير، النكهة، المشروب، الشجرة، القشرة
beans | الفاصولياء | البقول، الطبخ، البروتين، الحساء، الحقل، التجفيف
ginger root | الزنجبيل | الجذور، المشروب، النكهة، الشتاء، الدواء، الحرارة
pea pod | البازلاء | القرون، الأخضر، الطبخ، الحبات، الحقل، الشوربة
roasted sweet potato | البطاطا الحلوة | الشتاء، الشواء، الحلاوة، الدرنة، القشرة، الفرن، الدفء
brown mushroom | فطر الغابة | الرطوبة، الأشجار، الطبخ، البني، الجذع، الظلال
herb | الأعشاب | النعناع، الرائحة، الشاي، الحديقة، الأوراق، الدواء

# ── فواكه وخضار من Openclipart (رخصة CC0، لا إيموجي لها) ─────────────────
openclipart:340398 | الرمان | الفاكهة، الحبات، العصير، القشرة، الشجرة، الخريف، الحلاوة، المربى
openclipart:353378 | التين | الفاكهة، الشجرة، الحلاوة، المربى، البذور، الصيف
openclipart:304705 | المشمش | الفاكهة، النواة، المربى، الصيف، الشجرة، المشروب
openclipart:217046 | البامية | الخضار، الطبخ، الأخضر، الصلصة، البذور، الصيف
openclipart:291347 | القرنبيط | الخضار، الأبيض، الطبخ، الأوراق، الصحة، السلطة
openclipart:325790 | الفجل | الجذور، السلطة، الحدة، الأبيض، الحديقة، الأوراق
openclipart:321373 | الجوافة | الفاكهة، الرائحة، العصير، البذور، الوردي، الشجرة
openclipart:352628 | الببايا | الفاكهة، البذور، العصير، الحلاوة، القشرة، الصيف
openclipart:326639 | اللفت | الجذور، الخضار، الطبخ، الأوراق، الحساء، التربة، الشتاء، نبات
openclipart:203193 | اليقطين | القرع، البذور، الطبخ، الخريف، الحساء، الأخضر
openclipart:320629 | الشمندر | الجذور، الأحمر، العصير، التربة، الحديد، المزرعة، الطبخ، نبات
